ward_spatial,longitude,latitude
27,-87.72020156,41.89159279
27,-87.71890015,41.88852943
27,-87.69956596,41.88132143
28,-87.70436055,41.87938203
27,-87.65432511,41.90335551
47,-87.68574229,41.95435569
32,-87.65854653,41.91615546
27,-87.71303918,41.89650411
29,-87.77250714,41.87825391
24,-87.72303536,41.86450444
24,-87.71479217,41.85680353
28,-87.75471071,41.88241851
27,-87.71720035,41.8892931
28,-87.72282835,41.87671604
30,-87.77200721,41.930932
27,-87.65715112,41.88802194
25,-87.64506729,41.86154788
15,-87.6850124,41.79642212
13,-87.73311458,41.7865126
15,-87.67103398,41.77484308
15,-87.66863942,41.77527172
16,-87.67280784,41.77005981
16,-87.64898589,41.77942804
16,-87.6522688,41.77363108
6,-87.64085217,41.77276233
6,-87.62790947,41.77231551
6,-87.62116317,41.77374511
20,-87.61463711,41.7746649
20,-87.62517115,41.79237814
16,-87.65175137,41.78056822
17,-87.65672301,41.76475461
17,-87.64809855,41.75331152
7,-87.55756533,41.75832188
7,-87.55887905,41.75276069
50,-87.70543492,41.99883348
34,-87.64146218,41.87772039
23,-87.72326933,41.7833073
35,-87.71424537,41.92306939
32,-87.68728345,41.92794359
26,-87.71819274,41.9047364
26,-87.71096659,41.90307114
24,-87.72957832,41.87156891
24,-87.70705449,41.86002244
24,-87.70381598,41.87319523
24,-87.71590732,41.8733051
37,-87.75841699,41.91522871
47,-87.684659,41.96895289
37,-87.76158018,41.89081281
37,-87.75208679,41.88961012
37,-87.74647001,41.88930369
24,-87.74333678,41.87073893
24,-87.71799349,41.85783188
24,-87.70872801,41.85782273
28,-87.73153353,41.88496053
28,-87.72731062,41.88353703
28,-87.70223412,41.87550728
27,-87.69270811,41.88048723
28,-87.7356165,41.87541365
28,-87.73239932,41.87815281
27,-87.68459047,41.89006802
16,-87.6687011,41.7981709
16,-87.66619182,41.79543751
20,-87.66207408,41.80395929
17,-87.67079672,41.76625399
17,-87.65819382,41.76829928
20,-87.62279071,41.78876206
16,-87.64149191,41.78731363
20,-87.6260223,41.79313674
16,-87.66267494,41.7803715
17,-87.66895281,41.76209068
17,-87.66501717,41.75095942
7,-87.55616885,41.74615144
9,-87.62179827,41.69937713
9,-87.62949617,41.72016429
21,-87.65736005,41.68726078
21,-87.64845825,41.68974782
9,-87.61558851,41.68112726
23,-87.71728269,41.79211669
14,-87.71574068,41.80198511
18,-87.68954805,41.75852922
36,-87.74239453,41.91368688
29,-87.76769435,41.90109013
24,-87.72908897,41.8625871
24,-87.73364482,41.85847808
24,-87.72809577,41.8585709
24,-87.70841666,41.86507969
28,-87.70317989,41.87167244
28,-87.69967349,41.87166679
28,-87.72775792,41.87768992
28,-87.73173625,41.87492742
33,-87.70483488,41.95424558
37,-87.75706163,41.91443702
37,-87.7296265,41.90229439
