ward_spatial,longitude,latitude
34,-87.64184949,41.87696983
11,-87.63330203,41.8470659
15,-87.68500357,41.79607931
16,-87.6865028,41.78158685
18,-87.6937452,41.7588733
18,-87.69128796,41.75843229
46,-87.66612427,41.96326344
37,-87.7444785,41.90901394
37,-87.74447398,41.90881218
37,-87.75888877,41.89270005
37,-87.75662148,41.89086682
24,-87.72605826,41.87028123
28,-87.69423426,41.86481641
22,-87.72198137,41.84962486
27,-87.71225814,41.88945719
24,-87.71922096,41.87309305
28,-87.73856521,41.87845603
22,-87.72494893,41.84572283
43,-87.63684109,41.92099961
18,-87.69200344,41.758901
1,-87.69791762,41.91832911
32,-87.66013031,41.91685571
43,-87.64310724,41.92260308
29,-87.77078335,41.89986518
24,-87.73047769,41.86779325
28,-87.73211691,41.88667474
37,-87.72293684,41.89199006
27,-87.71521182,41.89053989
28,-87.70913452,41.8871869
27,-87.69515468,41.88408405
28,-87.71471056,41.87557911
24,-87.70738741,41.87211828
24,-87.70770606,41.86474072
28,-87.73330134,41.88428211
27,-87.70107332,41.88253184
27,-87.6970282,41.87457283
24,-87.7077573,41.87211382
37,-87.72512701,41.89565851
37,-87.74852353,41.89930426
29,-87.76572708,41.89405105
24,-87.73086866,41.86372705
27,-87.69525755,41.88383758
28,-87.73136851,41.88032825
24,-87.7446088,41.87262635
45,-87.74688273,41.95122809
44,-87.65773847,41.946033
23,-87.71944377,41.77936261
23,-87.76775654,41.79299134
18,-87.68954987,41.75859781
16,-87.67357402,41.79923142
3,-87.61636226,41.82327048
16,-87.6455021,41.77352325
6,-87.6387196,41.76581049
20,-87.62263256,41.78214803
20,-87.6295485,41.79017223
16,-87.64169542,41.78227145
16,-87.66286102,41.78813601
16,-87.65077278,41.78984672
16,-87.66396612,41.78461382
16,-87.65618886,41.78430114
16,-87.65616384,41.78348682
16,-87.66273671,41.78263974
5,-87.6059705,41.76558895
5,-87.6059705,41.76558895
6,-87.6347972,41.75839438
17,-87.66729502,41.75054415
17,-87.64703028,41.74019473
21,-87.63736515,41.74036684
21,-87.62500603,41.73843642
8,-87.59278057,41.72485641
21,-87.63173787,41.73612761
10,-87.56160817,41.69520583
21,-87.63656804,41.70632978
15,-87.63904131,41.80925464
20,-87.6594117,41.80842361
20,-87.65907805,41.80211066
20,-87.65953947,41.79998584
16,-87.66316225,41.79917183
16,-87.66309554,41.79660913
20,-87.64252158,41.80069278
20,-87.63371882,41.79971974
16,-87.67661258,41.77606913
16,-87.68062456,41.77549497
16,-87.67174551,41.77546516
16,-87.65290989,41.77843615
16,-87.65230053,41.77484754
16,-87.65110678,41.77561901
6,-87.63560065,41.77556289
5,-87.60202185,41.79748933
20,-87.61947952,41.78710676
20,-87.63447066,41.79352855
20,-87.63248766,41.79218532
16,-87.66216496,41.78037895
8,-87.59645015,41.75071896
33,-87.71144989,41.96141271
19,-87.68038505,41.68947324
10,-87.56207513,41.65021623
9,-87.62451538,41.71326535
9,-87.62445459,41.68436543
10,-87.5717979,41.68415875
10,-87.56916807,41.67434494
35,-87.69405052,41.93623448
2,-87.66209454,41.91899079
27,-87.72170146,41.90028294
37,-87.75256323,41.88845009
24,-87.71635623,41.87313065
12,-87.70317761,41.82326058
28,-87.66470937,41.87017935
16,-87.68650058,41.78150454
22,-87.75272999,41.81271605
14,-87.7157328,41.80169516
18,-87.71120566,41.74997809
22,-87.71973523,41.83344633
28,-87.6552273,41.86583159
22,-87.75114306,41.80725254
23,-87.74198174,41.79606177
31,-87.74705245,41.93267938
20,-87.65291686,41.79865029
20,-87.64319487,41.79879229
21,-87.66573196,41.73188976
19,-87.66817406,41.71188927
10,-87.56686245,41.6758445
3,-87.62386964,41.80502261
4,-87.61080328,41.82240424
3,-87.63288511,41.82201614
15,-87.66931288,41.77908291
6,-87.62460702,41.7714122
16,-87.64174099,41.78977293
16,-87.64549993,41.79315219
16,-87.64786665,41.79162789
16,-87.65129088,41.78278814
8,-87.59888529,41.75586217
17,-87.65520836,41.74698344
7,-87.55447604,41.75303478
20,-87.65297007,41.8007878
20,-87.65224099,41.79953152
16,-87.68641699,41.77851622
3,-87.62429598,41.82129665
16,-87.68251837,41.77463053
17,-87.67700296,41.76632648
17,-87.65705628,41.77107693
16,-87.65051218,41.78304529
17,-87.65669823,41.76020535
17,-87.65484205,41.75932374
17,-87.67202877,41.76456101
17,-87.64563265,41.73759749
7,-87.55820051,41.759765
14,-87.72483279,41.80176692
29,-87.80342637,41.9383057
35,-87.7100057,41.94454855
40,-87.68053039,41.99152561
26,-87.69332297,41.9035079
31,-87.74986831,41.92450049
21,-87.64917008,41.72964809
9,-87.6286334,41.68812208
9,-87.62714464,41.68222736
9,-87.62464369,41.67826315
10,-87.57230586,41.68408625
10,-87.56620276,41.67903436
10,-87.54195413,41.70247918
47,-87.68838335,41.96404195
47,-87.6757114,41.96120307
37,-87.75855031,41.89988681
37,-87.7459401,41.888876
24,-87.72942632,41.8731544
24,-87.72868376,41.87141268
24,-87.72568955,41.86733872
24,-87.7380548,41.85932699
24,-87.73266808,41.85954561
27,-87.71540577,41.89446513
28,-87.70140685,41.86944159
28,-87.69925372,41.86985346
27,-87.65043127,41.89402841
43,-87.64585098,41.9314652
28,-87.74843997,41.87881235
24,-87.72579785,41.8577414
25,-87.70039074,41.84112282
10,-87.53565259,41.71973735
10,-87.55351076,41.72241402
21,-87.64875662,41.73283561
10,-87.56983117,41.67615092
10,-87.56478023,41.67826358
21,-87.6329753,41.67271118
46,-87.65303169,41.96083396
47,-87.67151288,41.94420804
36,-87.71992713,41.90465613
24,-87.71692878,41.86431689
24,-87.71668214,41.85517591
28,-87.74417982,41.88513039
27,-87.70059875,41.87936331
24,-87.72123172,41.87050974
27,-87.65304303,41.89405781
22,-87.73132516,41.83807923
20,-87.63314974,41.8137968
15,-87.66773479,41.80790954
20,-87.65972766,41.80725459
20,-87.65469717,41.80074423
3,-87.61469758,41.80642396
3,-87.61517036,41.818908
11,-87.64259748,41.81649694
11,-87.64535499,41.81551401
15,-87.6683761,41.78610489
20,-87.60320071,41.7828277
20,-87.61358475,41.78185943
20,-87.63256846,41.79121571
20,-87.63854752,41.78463466
16,-87.65684856,41.78989731
5,-87.58290658,41.77010213
17,-87.65309234,41.75877918
17,-87.65163755,41.74940337
7,-87.55561008,41.74856338
37,-87.75873761,41.91470514
26,-87.72558569,41.91384287
49,-87.67062805,42.01323424
10,-87.61518018,41.64864689
21,-87.64805866,41.73289654
21,-87.6543208,41.71949024
9,-87.61714618,41.67194113
17,-87.67197939,41.76497965
6,-87.62884482,41.77342129
16,-87.64364783,41.77161268
20,-87.59327518,41.78082678
16,-87.66056192,41.79252416
8,-87.58925341,41.75943064
6,-87.64104651,41.76249004
6,-87.63304394,41.76339996
17,-87.65301954,41.73690788
7,-87.55807319,41.75055629
7,-87.55958152,41.73760176
8,-87.60599403,41.72515178
50,-87.70693657,42.00181105
50,-87.70480685,41.99649459
12,-87.66602371,41.81626107
15,-87.680224,41.80142609
3,-87.62586994,41.81950982
3,-87.61333733,41.81377286
16,-87.67593394,41.77695933
15,-87.66451904,41.77529021
17,-87.67922935,41.76711412
17,-87.66844906,41.76930729
16,-87.64889531,41.77942927
6,-87.63807166,41.76782574
20,-87.63305208,41.78509352
16,-87.66230383,41.78611884
17,-87.63785099,41.75187893
8,-87.57311526,41.74708746
8,-87.60660915,41.73323333
11,-87.65456446,41.81848931
20,-87.65431945,41.80607526
